PROGRAMA;CONCURSO;FOLIO;ANOPOSTULACION;ANO FALLO;RESPONSABLE PROYECTO;SEXO_RESPONSABLE;NOMBREINVEQUIPO;ROLINVEQUIPO;SEXOINVEQUIPO;INSTITUCIONEQUIPO
FONDECYT;FONDECYT REGULAR 2016;1160101;2015;2016;HECTOR MANSILLA GONZALEZ;HOMBRE;HECTOR MANSILLA GONZALEZ;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CONCEPCION
FONDECYT;FONDECYT REGULAR 2016;1160101;2015;2016;HECTOR MANSILLA GONZALEZ;HOMBRE;INGRID PAOLA  SANTANDER GUTIERREZ;COINVESTIGADOR(A);MUJER;UNIVERSIDAD DE CONCEPCION
FONDECYT;FONDECYT REGULAR 2016;1160101;2015;2016;HECTOR MANSILLA GONZALEZ;HOMBRE;JORGE CARLOS YANEZ SOLORZA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CONCEPCION
FONDECYT;FONDECYT REGULAR 2016;1160102;2015;2016;LUIS MERINO MONTERO;HOMBRE;LUIS MERINO MONTERO;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160102;2015;2016;LUIS MERINO MONTERO;HOMBRE;SILVIA HERRERA ORTEGA;COINVESTIGADOR(A);MUJER;PARTICULAR
FONDECYT;FONDECYT REGULAR 2016;1160102;2015;2016;LUIS MERINO MONTERO;HOMBRE;CRISTIAN GUERRA ROJAS;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160105;2015;2016;LUIS BERGH OLIVARES;HOMBRE;LUIS BERGH;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD TECNICA FEDERICO SANTA MARIA
FONDECYT;FONDECYT REGULAR 2016;1160105;2015;2016;LUIS BERGH OLIVARES;HOMBRE;JUAN  YIANATOS BERNARDINO;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD TECNICA FEDERICO SANTA MARIA
FONDECYT;FONDECYT REGULAR 2016;1160105;2015;2016;LUIS BERGH OLIVARES;HOMBRE;DANIEL  NAVIA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD TECNICA FEDERICO SANTA MARIA
FONDECYT;FONDECYT REGULAR 2016;1160105;2015;2016;LUIS BERGH OLIVARES;HOMBRE;IVAN CORNEJO GARCIA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD TECNICA FEDERICO SANTA MARIA
