PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
FONDECYT;FONDECYT REGULAR 2016;1160757;2015;2016;JAVIER MORALES VALENZUELA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160757;2015;2016;JAVIER MORALES VALENZUELA;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160757;2015;2016;JAVIER MORALES VALENZUELA;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160764;2015;2016;EMILIO UNGERFELD;HOMBRE;INSTITUCION PRINCIPAL;INSTITUTO DE INVESTIGACIONES AGROPECUARIAS;61312000-9;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160765;2015;2016;CESAR OYARZUN ROBLES;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160777;2015;2016;CLAUDIA QUEZADA MONRAS;MUJER;INSTITUCION SECUNDARIA;SERVICIO DE SALUD METROPOLITANO ORIENTE;61608400-3;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160792;2015;2016;MANUEL RUZ ORTIZ;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160792;2015;2016;MANUEL RUZ ORTIZ;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160792;2015;2016;MANUEL RUZ ORTIZ;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160800;2015;2016;MAURICIO CUELLO FREDES;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160800;2015;2016;MAURICIO CUELLO FREDES;HOMBRE;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160802;2015;2016;VERONICA CAMBIAZO;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160802;2015;2016;VERONICA CAMBIAZO;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160804;2015;2016;JAVIER CASTRO SEPULVEDA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DEL DESARROLLO;71644300-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160807;2015;2016;RODRIGO LOPEZ MUNOZ;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160820;2015;2016;EUGENIA MORSELLI;MUJER;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160820;2015;2016;EUGENIA MORSELLI;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160820;2015;2016;EUGENIA MORSELLI;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160823;2015;2016;FERNANDO LUND;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160823;2015;2016;FERNANDO LUND;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2022;1220058;2021;2022;FELIPE CASTRO CERDA;HOMBRE;INSTITUCION APORTANTE;UNIVERSITEIT TWENTE;-;HOLANDA;NO APLICA
FONDECYT;FONDECYT REGULAR 2016;1160833;2015;2016;SUSANA EYHERAMENDY DUERR;MUJER;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160833;2015;2016;SUSANA EYHERAMENDY DUERR;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160833;2015;2016;SUSANA EYHERAMENDY DUERR;MUJER;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160836;2015;2016;ALEJANDRO MARTINEZ AGUAYO;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160836;2015;2016;ALEJANDRO MARTINEZ AGUAYO;HOMBRE;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160838;2015;2016;MASATOSHI SATO;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160839;2015;2016;ENRIQUE VERGARA LEYTON;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160839;2015;2016;ENRIQUE VERGARA LEYTON;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DIEGO PORTALES;70990700-K;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160839;2015;2016;ENRIQUE VERGARA LEYTON;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DIEGO PORTALES;70990700-K;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160848;2015;2016;BEATRIZ BUSTOS GALLARDO;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160849;2015;2016;HELENA HORTA TRICALLOTIS;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160856;2015;2016;RAFAEL BENGURIA DONOSO;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160857;2015;2016;GUSTAVO BLANCO WELLS;HOMBRE;INSTITUCION SECUNDARIA;INSTITUTO FORESTAL;61311000-3;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160857;2015;2016;GUSTAVO BLANCO WELLS;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160858;2015;2016;ARTURO BORZUTZKY SCHACHTER;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160858;2015;2016;ARTURO BORZUTZKY SCHACHTER;HOMBRE;INSTITUCION SECUNDARIA;UNIVERSIDAD MAYOR;71500500-K;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160861;2015;2016;WILFREDO PALMA;HOMBRE;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160868;2015;2016;VICTOR LEIVA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD ADOLFO IBANEZ;71543200-5;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160869;2015;2016;PAMELA ZAPATA SEPULVEDA;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160871;2015;2016;MARIA SANTELICES ETCHEGARAY;MUJER;INSTITUCION PRINCIPAL;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160873;2015;2016;DANIEL MANSUY HUERTA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE LOS ANDES;71614000-8;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160885;2015;2016;LUCIA MASSARDO VEGA;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160885;2015;2016;LUCIA MASSARDO VEGA;MUJER;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
